"id","date","groupa_spent","groupa_conversions","groupb_spent","groupb_conversions"
"1000141","2023-01-25","11.49","1","0","0"
"1000261","2023-01-25","205.98","1","0","0"
"1000269","2023-01-25","116.29","1","0","0"
"1000601","2023-01-25","10.79","1","0","0"
"1000635","2023-01-25","0","0","69.21","1"
"1000675","2023-01-25","0","0","68.34","1"
"1001016","2023-01-25","0","0","63.01","1"
"1001052","2023-01-25","47.86","1","0","0"
"1001248","2023-01-25","0","0","48.6","1"
"1001425","2023-01-25","0","0","309.8","1"
"1001477","2023-01-25","0","0","106.65","1"
"1001811","2023-01-25","126.86","1","0","0"
"1001855","2023-01-25","96.6","1","0","0"
"1001949","2023-01-25","0","0","74.71","1"
"1002198","2023-01-25","34.59","1","0","0"
"1002223","2023-01-25","41.45","1","0","0"
"1002400","2023-01-25","28.3","1","0","0"
"1002430","2023-01-25","0","0","38.94","1"
"1002531","2023-01-25","0","0","30.77","1"
"1002550","2023-01-25","0","0","125.83","1"
"1002937","2023-01-25","29.14","1","0","0"
"1002992","2023-01-25","0","0","25.8","1"
"1002998","2023-01-25","71.48","1","0","0"
"1003105","2023-01-25","74.87","1","0","0"
"1003376","2023-01-25","0","0","67.36","1"
"1003519","2023-01-25","0","0","37.96","1"
"1003663","2023-01-25","164.36","1","0","0"
"1003697","2023-01-25","85.52","1","0","0"
"1003802","2023-01-25","0","0","38.98","1"
"1003914","2023-01-25","0","0","93.94","1"
"1004239","2023-01-25","0","0","22.73","1"
"1004313","2023-01-25","105.71","1","0","0"
"1004612","2023-01-25","0","0","27.62","1"
"1004772","2023-01-25","0","0","128.91","1"
"1005100","2023-01-25","0","0","71.97","1"
"1005593","2023-01-25","0","0","114.15","1"
"1005689","2023-01-25","0","0","33.52","1"
"1005912","2023-01-25","0","0","47.43","1"
"1006127","2023-01-25","0","0","100.34","1"
"1006149","2023-01-25","18.33","1","0","0"
"1006239","2023-01-25","118.93","1","0","0"
"1006417","2023-01-25","0","0","58.12","1"
"1006774","2023-01-25","0","0","75.51","1"
"1007049","2023-01-25","74.47","1","0","0"
"1007136","2023-01-25","85.12","1","0","0"
"1007616","2023-01-25","136.76","1","0","0"
"1007936","2023-01-25","0","0","55.27","1"
"1008075","2023-01-25","84.71","1","0","0"
"1008096","2023-01-25","0","0","23.94","1"
"1008274","2023-01-25","63.88","1","0","0"
"1008347","2023-01-25","0","0","56.01","1"
"1008421","2023-01-25","22.23","1","0","0"
"1008546","2023-01-25","0","0","99.41","1"
"1008689","2023-01-25","0","0","71.05","1"
"1008724","2023-01-25","89.31","1","0","0"
"1008745","2023-01-25","0","0","26.52","1"
"1008954","2023-01-25","50.53","1","0","0"
"1009105","2023-01-25","158.77","1","0","0"
"1009142","2023-01-25","0","0","12.98","1"
"1009245","2023-01-25","0","0","16.03","1"
"1009288","2023-01-25","0","0","1094.8","1"
"1009458","2023-01-25","0","0","72.78","1"
"1009599","2023-01-25","0","0","86.33","1"
"1009633","2023-01-25","0","0","61.91","1"
"1009810","2023-01-25","854.8000000000001","1","0","0"
"1009949","2023-01-25","45.57","1","0","0"
"1010063","2023-01-25","26.77","1","0","0"
"1010091","2023-01-25","55.83","1","0","0"
"1010155","2023-01-25","0","0","62.18","1"
"1010330","2023-01-25","39.92","1","0","0"
"1010452","2023-01-25","0","0","119.04","1"
"1010490","2023-01-25","0","0","65.68","1"
"1010558","2023-01-25","0","0","40.88","1"
"1010625","2023-01-25","0","0","116.4","1"
"1010765","2023-01-25","0","0","37.95","1"
"1010769","2023-01-25","0","0","60.78","1"
"1011478","2023-01-25","97.23","1","0","0"
"1011858","2023-01-25","0","0","58.05","1"
"1012178","2023-01-25","0","0","104.85","1"
"1012193","2023-01-25","69.57","1","0","0"
"1012407","2023-01-25","31.64","1","0","0"
"1012413","2023-01-25","0","0","23.23","1"
"1012527","2023-01-25","38.39","1","0","0"
"1012607","2023-01-25","0","0","12.15","1"
"1012809","2023-01-25","0","0","47.82","1"
"1012822","2023-01-25","0","0","86.88","1"
"1012828","2023-01-25","0","0","18.59","1"
"1013084","2023-01-25","0","0","102.98","1"
"1013110","2023-01-25","0","0","145.11","1"
"1013300","2023-01-25","0","0","56.01","1"
"1013480","2023-01-25","0","0","12.91","1"
"1013891","2023-01-25","45.48","1","0","0"
"1013897","2023-01-25","14.14","1","0","0"
"1013979","2023-01-25","0","0","23.43","1"
"1014183","2023-01-25","0","0","183.34","1"
"1014608","2023-01-25","0","0","107.89","1"
"1014639","2023-01-25","0","0","58.21","1"
"1014804","2023-01-25","0","0","123.82","1"
"1014807","2023-01-25","0","0","78.18","1"
"1014840","2023-01-25","41.02","1","0","0"
"1014920","2023-01-25","92.32","1","0","0"
"1014964","2023-01-25","195.25","1","0","0"
"1015035","2023-01-25","0","0","113.51","1"
"1015189","2023-01-25","0","0","34.58","1"
"1015415","2023-01-25","0","0","66.15","1"
"1015499","2023-01-25","57.73","1","0","0"
"1015634","2023-01-25","0","0","28.83","1"
"1015677","2023-01-25","9.48","1","0","0"
"1015758","2023-01-25","83.43","1","0","0"
"1015957","2023-01-25","49.24","1","0","0"
"1016079","2023-01-25","54.61","1","0","0"
"1016122","2023-01-25","13.17","1","0","0"
"1016138","2023-01-25","0","0","45.83","1"
"1016311","2023-01-25","0","0","46.7","1"
"1016359","2023-01-25","94.34","1","0","0"
"1016374","2023-01-25","99.88","1","0","0"
"1016583","2023-01-25","0","0","56.42","1"
"1016741","2023-01-25","15.35","1","0","0"
"1016921","2023-01-25","0","0","44.39","1"
"1016952","2023-01-25","84.65","1","0","0"
"1017060","2023-01-25","0","0","50.71","1"
"1017069","2023-01-25","0","0","27.18","1"
"1017087","2023-01-25","0","0","32.08","1"
"1017270","2023-01-25","0","0","17.51","1"
"1017400","2023-01-25","0","0","107.98","1"
"1017435","2023-01-25","0","0","5.05","1"
"1017445","2023-01-25","23.76","1","0","0"
"1017584","2023-01-25","51.78","1","0","0"
"1017681","2023-01-25","0","0","7.32","1"
"1017694","2023-01-25","0","0","126.78","1"
"1017742","2023-01-25","49.71","1","0","0"
"1017826","2023-01-25","0","0","62.28","1"
"1017896","2023-01-25","17.75","1","0","0"
"1018030","2023-01-25","30.01","1","0","0"
"1018243","2023-01-25","68.11","1","0","0"
"1018296","2023-01-25","0","0","72.84","1"
"1018325","2023-01-25","0","0","54.84","1"
"1018396","2023-01-25","83.38","1","0","0"
"1018405","2023-01-25","49.91","1","0","0"
"1018480","2023-01-25","0","0","72.32","1"
"1018723","2023-01-25","86.8","1","0","0"
"1018933","2023-01-25","31.56","1","0","0"
"1018988","2023-01-25","0","0","46.48","1"
"1019004","2023-01-25","0","0","50.18","1"
"1019209","2023-01-25","0","0","121.11","1"
"1019406","2023-01-25","0","0","25.31","1"
"1019868","2023-01-25","128.74","1","0","0"
"1019907","2023-01-25","745.8","1","0","0"
"1020099","2023-01-25","0","0","112.01","1"
"1020154","2023-01-25","63.92","1","0","0"
"1020183","2023-01-25","92.98","1","0","0"
"1020236","2023-01-25","0","0","82.23","1"
"1020563","2023-01-25","90.47","1","0","0"
"1020593","2023-01-25","101.78","1","0","0"
"1020804","2023-01-25","104.6","1","0","0"
"1020808","2023-01-25","0","0","23.51","1"
"1020890","2023-01-25","0","0","133.03","1"
"1021013","2023-01-25","0","0","40.74","1"
"1021090","2023-01-25","0","0","34.81","1"
"1021165","2023-01-25","0","0","102.04","1"
"1021291","2023-01-25","65.46","1","0","0"
"1021378","2023-01-25","42.75","1","0","0"
"1021426","2023-01-25","19.03","1","0","0"
"1021543","2023-01-25","58.12","1","0","0"
"1021801","2023-01-25","0","0","53.58","1"
"1021860","2023-01-25","77.27","1","0","0"
"1022206","2023-01-25","141.18","1","0","0"
"1022253","2023-01-25","103.07","1","0","0"
"1022510","2023-01-25","109.02","1","0","0"
"1022602","2023-01-25","138.7","1","0","0"
"1022619","2023-01-25","0","0","61.51","1"
"1022767","2023-01-25","0","0","45.41","1"
"1022775","2023-01-25","0","0","77.7","1"
"1022778","2023-01-25","74.91","1","0","0"
"1022788","2023-01-25","98.46","1","0","0"
"1022824","2023-01-25","128.88","1","0","0"
"1022976","2023-01-25","31","1","0","0"
"1023109","2023-01-25","0","0","74.51","1"
"1023126","2023-01-25","0","0","33.58","1"
"1023580","2023-01-25","16.19","1","0","0"
"1023677","2023-01-25","0","0","20.59","1"
"1023930","2023-01-25","0","0","109.78","1"
"1023957","2023-01-25","0","0","7.16","1"
"1024481","2023-01-25","0","0","70.02","1"
"1024518","2023-01-25","215.42","1","0","0"
"1024556","2023-01-25","0","0","45.64","1"
"1024840","2023-01-25","42.46","1","0","0"
"1024935","2023-01-25","6.13","1","0","0"
"1024995","2023-01-25","0","0","14.22","1"
"1025126","2023-01-25","28.86","1","0","0"
"1025269","2023-01-25","0","0","63.69","1"
"1025404","2023-01-25","149.98","1","0","0"
"1025491","2023-01-25","0","0","68.26","1"
"1025602","2023-01-25","0","0","62.33","1"
"1025834","2023-01-25","0","0","46.52","1"
"1025877","2023-01-25","0","0","47.88","1"
"1026041","2023-01-25","88.26","1","0","0"
"1026180","2023-01-25","0","0","156.72","1"
"1026189","2023-01-25","0","0","53.97","1"
"1026693","2023-01-25","0","0","26.46","1"
"1026797","2023-01-25","55.84","1","0","0"
"1026917","2023-01-25","0","0","26.85","1"
"1026967","2023-01-25","0","0","7.74","1"
"1027076","2023-01-25","0","0","66.8","1"
"1027244","2023-01-25","123.11","1","0","0"
"1027401","2023-01-25","0","0","425.90000000000003","1"
"1027440","2023-01-25","0","0","51.91","1"
"1027519","2023-01-25","70.17","1","0","0"
"1027638","2023-01-25","0","0","20.83","1"
"1027780","2023-01-25","0","0","39.64","1"
"1028100","2023-01-25","0","0","157.15","1"
"1028180","2023-01-25","0","0","38.89","1"
"1028218","2023-01-25","0","0","71.2","1"
"1028224","2023-01-25","60.79","1","0","0"
"1028453","2023-01-25","0","0","28.28","1"
"1028489","2023-01-25","0","0","85.98","1"
"1029406","2023-01-25","0","0","36.72","1"
"1029684","2023-01-25","0","0","57.38","1"
"1029740","2023-01-25","0","0","24.16","1"
"1029796","2023-01-25","0","0","54.54","1"
"1029874","2023-01-25","0","0","35.98","1"
"1029920","2023-01-25","34.93","1","0","0"
"1029937","2023-01-25","0","0","92.09","1"
